address,segment,offset,linear_address,image_offset
1000:0000,0x1000,0x0000,0x00010000,0x00000000
1000:00f6,0x1000,0x00f6,0x000100f6,0x000000f6
1000:0115,0x1000,0x0115,0x00010115,0x00000115
1000:012f,0x1000,0x012f,0x0001012f,0x0000012f
1000:0172,0x1000,0x0172,0x00010172,0x00000172
1000:019f,0x1000,0x019f,0x0001019f,0x0000019f
1000:01e2,0x1000,0x01e2,0x000101e2,0x000001e2
1000:01ea,0x1000,0x01ea,0x000101ea,0x000001ea
1000:0258,0x1000,0x0258,0x00010258,0x00000258
1000:0282,0x1000,0x0282,0x00010282,0x00000282
1000:03ea,0x1000,0x03ea,0x000103ea,0x000003ea
1000:0416,0x1000,0x0416,0x00010416,0x00000416
1000:0569,0x1000,0x0569,0x00010569,0x00000569
1000:05e7,0x1000,0x05e7,0x000105e7,0x000005e7
1000:0604,0x1000,0x0604,0x00010604,0x00000604
1000:063b,0x1000,0x063b,0x0001063b,0x0000063b
1000:0698,0x1000,0x0698,0x00010698,0x00000698
1000:06a9,0x1000,0x06a9,0x000106a9,0x000006a9
1000:07ad,0x1000,0x07ad,0x000107ad,0x000007ad
1000:07f0,0x1000,0x07f0,0x000107f0,0x000007f0
1000:0816,0x1000,0x0816,0x00010816,0x00000816
1000:08d1,0x1000,0x08d1,0x000108d1,0x000008d1
1000:0a07,0x1000,0x0a07,0x00010a07,0x00000a07
1000:0a90,0x1000,0x0a90,0x00010a90,0x00000a90
1000:0b88,0x1000,0x0b88,0x00010b88,0x00000b88
1000:0bf9,0x1000,0x0bf9,0x00010bf9,0x00000bf9
1000:0c18,0x1000,0x0c18,0x00010c18,0x00000c18
1000:0d9d,0x1000,0x0d9d,0x00010d9d,0x00000d9d
1000:0f7a,0x1000,0x0f7a,0x00010f7a,0x00000f7a
1000:11eb,0x1000,0x11eb,0x000111eb,0x000011eb
1000:1349,0x1000,0x1349,0x00011349,0x00001349
1000:138c,0x1000,0x138c,0x0001138c,0x0000138c
1000:13b2,0x1000,0x13b2,0x000113b2,0x000013b2
1000:13df,0x1000,0x13df,0x000113df,0x000013df
1000:1473,0x1000,0x1473,0x00011473,0x00001473
1000:14e4,0x1000,0x14e4,0x000114e4,0x000014e4
1000:15a1,0x1000,0x15a1,0x000115a1,0x000015a1
1000:165e,0x1000,0x165e,0x0001165e,0x0000165e
1000:17c7,0x1000,0x17c7,0x000117c7,0x000017c7
1000:19a1,0x1000,0x19a1,0x000119a1,0x000019a1
1000:19e4,0x1000,0x19e4,0x000119e4,0x000019e4
1000:1a20,0x1000,0x1a20,0x00011a20,0x00001a20
1000:1a67,0x1000,0x1a67,0x00011a67,0x00001a67
1000:1b2b,0x1000,0x1b2b,0x00011b2b,0x00001b2b
1000:1bd7,0x1000,0x1bd7,0x00011bd7,0x00001bd7
1000:1c41,0x1000,0x1c41,0x00011c41,0x00001c41
1000:1cb2,0x1000,0x1cb2,0x00011cb2,0x00001cb2
1000:1cea,0x1000,0x1cea,0x00011cea,0x00001cea
1000:1d26,0x1000,0x1d26,0x00011d26,0x00001d26
1000:1dde,0x1000,0x1dde,0x00011dde,0x00001dde
1000:1e02,0x1000,0x1e02,0x00011e02,0x00001e02
1000:1e3d,0x1000,0x1e3d,0x00011e3d,0x00001e3d
1000:1e5e,0x1000,0x1e5e,0x00011e5e,0x00001e5e
1000:1e90,0x1000,0x1e90,0x00011e90,0x00001e90
1000:1ec2,0x1000,0x1ec2,0x00011ec2,0x00001ec2
1000:1f03,0x1000,0x1f03,0x00011f03,0x00001f03
1000:1f3e,0x1000,0x1f3e,0x00011f3e,0x00001f3e
1000:1f7f,0x1000,0x1f7f,0x00011f7f,0x00001f7f
1000:1fbe,0x1000,0x1fbe,0x00011fbe,0x00001fbe
1000:207d,0x1000,0x207d,0x0001207d,0x0000207d
1000:2138,0x1000,0x2138,0x00012138,0x00002138
1000:21bb,0x1000,0x21bb,0x000121bb,0x000021bb
1000:21e7,0x1000,0x21e7,0x000121e7,0x000021e7
1000:2261,0x1000,0x2261,0x00012261,0x00002261
1000:228d,0x1000,0x228d,0x0001228d,0x0000228d
1000:22b0,0x1000,0x22b0,0x000122b0,0x000022b0
1000:22c1,0x1000,0x22c1,0x000122c1,0x000022c1
1000:22d2,0x1000,0x22d2,0x000122d2,0x000022d2
1000:22fc,0x1000,0x22fc,0x000122fc,0x000022fc
