address,name,status,evidence,cpp_symbol
1000:0000,entry,unknown,ghidra initial analysis,
1000:00f6,FUN_1000_00f6,unknown,ghidra initial analysis,
1000:0115,FUN_1000_0115,unknown,ghidra initial analysis,
1000:012f,FUN_1000_012f,unknown,ghidra initial analysis,
1000:0172,FUN_1000_0172,unknown,ghidra initial analysis,
1000:019f,FUN_1000_019f,unknown,ghidra initial analysis,
1000:01e2,FUN_1000_01e2,unknown,ghidra initial analysis,
1000:01ea,FUN_1000_01ea,unknown,ghidra initial analysis,
1000:0258,FUN_1000_0258,unknown,ghidra initial analysis,
1000:0282,FUN_1000_0282,unknown,ghidra initial analysis,
1000:03ea,FUN_1000_03ea,unknown,ghidra initial analysis,
1000:0416,FUN_1000_0416,unknown,ghidra initial analysis,
1000:0569,FUN_1000_0569,unknown,ghidra initial analysis,
1000:05e7,FUN_1000_05e7,unknown,ghidra initial analysis,
1000:0604,FUN_1000_0604,unknown,ghidra initial analysis,
1000:063b,FUN_1000_063b,unknown,ghidra initial analysis,
1000:0698,FUN_1000_0698,unknown,ghidra initial analysis,
1000:06a9,FUN_1000_06a9,unknown,ghidra initial analysis,
1000:07ad,FUN_1000_07ad,unknown,ghidra initial analysis,
1000:07f0,FUN_1000_07f0,unknown,ghidra initial analysis,
1000:0816,FUN_1000_0816,unknown,ghidra initial analysis,
1000:08d1,FUN_1000_08d1,unknown,ghidra initial analysis,
1000:0a07,FUN_1000_0a07,unknown,ghidra initial analysis,
1000:0a90,FUN_1000_0a90,unknown,ghidra initial analysis,
1000:0b88,FUN_1000_0b88,unknown,ghidra initial analysis,
1000:0bf9,FUN_1000_0bf9,unknown,ghidra initial analysis,
1000:0c18,FUN_1000_0c18,unknown,ghidra initial analysis,
1000:0d9d,FUN_1000_0d9d,unknown,ghidra initial analysis,
1000:0f7a,FUN_1000_0f7a,unknown,ghidra initial analysis,
1000:11eb,FUN_1000_11eb,unknown,ghidra initial analysis,
1000:1349,FUN_1000_1349,unknown,ghidra initial analysis,
1000:138c,FUN_1000_138c,unknown,ghidra initial analysis,
1000:13b2,FUN_1000_13b2,unknown,ghidra initial analysis,
1000:13df,FUN_1000_13df,unknown,ghidra initial analysis,
1000:1473,FUN_1000_1473,unknown,ghidra initial analysis,
1000:14e4,FUN_1000_14e4,unknown,ghidra initial analysis,
1000:15a1,FUN_1000_15a1,unknown,ghidra initial analysis,
1000:165e,FUN_1000_165e,unknown,ghidra initial analysis,
1000:17c7,FUN_1000_17c7,unknown,ghidra initial analysis,
1000:19a1,FUN_1000_19a1,unknown,ghidra initial analysis,
1000:19e4,FUN_1000_19e4,unknown,ghidra initial analysis,
1000:1a20,FUN_1000_1a20,unknown,ghidra initial analysis,
1000:1a67,FUN_1000_1a67,unknown,ghidra initial analysis,
1000:1b2b,FUN_1000_1b2b,unknown,ghidra initial analysis,
1000:1bd7,FUN_1000_1bd7,unknown,ghidra initial analysis,
1000:1c41,FUN_1000_1c41,unknown,ghidra initial analysis,
1000:1cb2,FUN_1000_1cb2,unknown,ghidra initial analysis,
1000:1cea,FUN_1000_1cea,unknown,ghidra initial analysis,
1000:1d26,FUN_1000_1d26,unknown,ghidra initial analysis,
1000:1dde,FUN_1000_1dde,unknown,ghidra initial analysis,
1000:1e02,FUN_1000_1e02,unknown,ghidra initial analysis,
1000:1e3d,FUN_1000_1e3d,unknown,ghidra initial analysis,
1000:1e5e,FUN_1000_1e5e,unknown,ghidra initial analysis,
1000:1e90,FUN_1000_1e90,unknown,ghidra initial analysis,
1000:1ec2,FUN_1000_1ec2,unknown,ghidra initial analysis,
1000:1f03,FUN_1000_1f03,unknown,ghidra initial analysis,
1000:1f3e,FUN_1000_1f3e,unknown,ghidra initial analysis,
1000:1f7f,FUN_1000_1f7f,unknown,ghidra initial analysis,
1000:1fbe,FUN_1000_1fbe,unknown,ghidra initial analysis,
1000:207d,FUN_1000_207d,unknown,ghidra initial analysis,
1000:2138,FUN_1000_2138,unknown,ghidra initial analysis,
